gene_id,SRR1048058,SRR1048059,SRR1048060,SRR1048061,SRR1048062,SRR1048063
MSTRG.28097,0,0,0,1,0,0
MSTRG.28096,11,161,345,370,443,431
MSTRG.28099,0,50,82,65,28,113
MSTRG.28098,0,47,110,41,21,130
MSTRG.37202,131,892,852,1335,1217,1508
MSTRG.37304,0,10,31,21,8,13
ENSDARG00000091788,0,0,4,0,0,4
MSTRG.20529,0,28,31,34,96,93
MSTRG.37307,60,501,806,543,534,858
MSTRG.20525,0,7,0,18,0,45
MSTRG.20524,89,713,797,1329,1062,1263
MSTRG.20527,0,0,16,0,0,0
MSTRG.37306,0,3,28,0,0,15
MSTRG.20521,21,25,52,103,73,147
MSTRG.20520,0,11,0,0,0,3
MSTRG.20523,0,3,0,15,2,9
MSTRG.20522,0,142,260,178,202,303
MSTRG.17321,0,0,0,56,16,9
MSTRG.17320,0,3,0,0,52,5
MSTRG.17323,0,11,0,3,0,8
MSTRG.17322,0,2,31,11,26,7
MSTRG.17325,0,0,0,0,22,0
MSTRG.25524,0,37,30,18,81,62
MSTRG.17327,597,3012,5075,5820,5092,8078
MSTRG.17326,0,20,81,99,62,78
MSTRG.17329,0,3,0,0,14,0
MSTRG.17328,0,0,0,0,0,8
MSTRG.38512,0,8,0,0,0,0
MSTRG.16050,0,53,52,143,157,69
MSTRG.16051,0,38,0,7,35,47
MSTRG.16052,190,892,1384,1292,1091,1731
MSTRG.16053,0,0,42,0,0,3
MSTRG.16054,0,3,7,5,14,3
MSTRG.16055,0,0,0,0,0,0
MSTRG.16056,0,0,0,0,0,0
MSTRG.16057,22,208,205,190,158,235
MSTRG.16058,138,632,1205,1260,894,1399
MSTRG.16059,0,26,78,66,43,38
MSTRG.37468,0,0,0,0,21,0
MSTRG.37469,3,50,22,46,64,69
MSTRG.25348,17,52,120,104,78,140
MSTRG.25349,0,125,153,170,146,218
ENSDARG00000057049,0,0,0,0,0,3
MSTRG.25342,0,0,0,0,8,0
MSTRG.25343,19,25,62,58,91,115
MSTRG.37462,484,1756,3417,4981,3543,4532
MSTRG.37463,0,57,113,201,121,173
MSTRG.37464,15,174,405,223,300,291
MSTRG.37465,18,143,221,285,337,335
MSTRG.37466,12,195,289,303,256,311
MSTRG.25345,133,1363,1107,878,1909,2313
MSTRG.5509,4,63,127,74,125,119
MSTRG.2027,0,38,106,47,31,39
MSTRG.2026,0,0,0,13,0,0
MSTRG.5501,0,27,41,53,47,47
MSTRG.5500,0,6,7,10,8,9
MSTRG.5503,0,14,31,0,1,4
MSTRG.5502,0,3,0,15,0,0
MSTRG.5505,0,82,83,105,48,105
MSTRG.2025,44,505,808,894,652,1012
MSTRG.5507,304,1529,1963,2628,2067,2737
MSTRG.5506,0,0,11,0,0,0
MSTRG.2024,188,1414,2287,2396,2051,2502
MSTRG.2023,98,832,1673,1896,1794,2151
MSTRG.7050,0,91,54,73,20,100
ENSDARG00000071727,0,0,0,0,0,6
MSTRG.7053,0,0,0,0,22,3
MSTRG.7052,26,327,442,305,447,567
ENSDARG00000103378,0,0,0,0,0,0
MSTRG.888,0,92,146,96,66,153
ENSDARG00000103372,0,0,0,0,0,0
MSTRG.31511,0,45,47,4,0,3
MSTRG.7256,0,0,0,18,0,0
ENSDARG00000108498,0,0,3,0,0,0
ENSDARG00000108499,0,0,0,0,0,0
ENSDARG00000108494,0,0,0,0,0,0
ENSDARG00000108495,0,0,0,0,0,0
ENSDARG00000108492,0,0,0,0,0,0
ENSDARG00000108490,0,0,7,0,0,5
MSTRG.771,86,941,1285,766,619,991
MSTRG.11586,0,0,0,4,0,15
MSTRG.11585,0,0,0,16,7,15
MSTRG.11584,0,0,9,0,0,0
MSTRG.11583,0,0,19,0,0,0
MSTRG.31518,0,25,0,1,0,2
MSTRG.11581,0,4,0,6,0,0
MSTRG.11580,0,77,115,22,74,46
MSTRG.22581,0,152,131,107,101,267
MSTRG.22580,18,192,157,381,201,336
MSTRG.22583,0,0,0,22,0,2
MSTRG.31519,0,0,4,0,0,5
MSTRG.22585,28,353,521,495,562,792
MSTRG.22584,0,0,21,0,0,0
MSTRG.22587,0,14,60,82,77,74
MSTRG.22586,0,0,11,0,0,0
MSTRG.26699,5,7,16,0,0,0
MSTRG.26698,0,10,0,28,5,16
MSTRG.26691,0,6,15,18,2,6
MSTRG.26690,0,149,184,138,134,225
MSTRG.26693,1,91,154,46,178,225
ENSDARG00000106475,0,0,0,0,0,0
MSTRG.26695,0,0,0,0,0,0
MSTRG.26694,0,0,0,0,11,0
MSTRG.26697,7,57,64,84,111,111
MSTRG.26696,0,49,35,94,149,227
MSTRG.16588,0,0,0,0,0,0
MSTRG.16589,20,160,310,268,238,361
MSTRG.16582,0,117,105,191,112,169
MSTRG.16583,0,19,29,25,40,16
MSTRG.16580,40,173,220,275,253,249
